,prob
0,0.926649469
1,0.941843729
2,0.960182233
3,0.911212942
4,0.965210692
5,0.942140978
6,0.96636475
7,0.979039999
8,0.940108452
9,0.951787299
10,0.961561444
11,0.976745135
12,0.941964274
13,0.947557552
14,0.982615967
15,0.977655257
16,0.897643926
17,0.951409016
18,0.98755198
19,0.937726261
20,0.955563783
21,0.972150958
22,0.96937478
23,0.92739637
24,0.968715818
25,0.959476981
26,0.878155009
27,0.926657778
28,0.953191374
29,0.951060896
30,0.951370154
31,0.88209939
32,0.96872037
33,0.931688671
34,0.971617716
35,0.940700076
36,0.949338973
37,0.971480854
38,0.962828
39,0.986251383
40,0.974133323
41,0.979650389
42,0.940358493
43,0.969200758
44,0.960541216
45,0.975939203
46,0.931019231
47,0.968795447
48,0.976810985
49,0.980975432
50,0.976975728
51,0.97027907
52,0.957399793
53,0.916527695
54,0.935180665
55,0.978852715
56,0.973755848
57,0.925341418
58,0.922452263
59,0.963613478
60,0.960842179
61,0.93847036
62,0.985682559
63,0.923365677
64,0.94175357
65,0.950375077
66,0.958006534
67,0.959360171
68,0.920039364
69,0.957033643
70,0.96207466
71,0.940082033
72,0.97851067
73,0.903187085
74,0.979418045
75,0.981744027
76,0.948958236
77,0.976829829
78,0.91676932
79,0.92660824
80,0.941922484
81,0.98401315
82,0.961182055
83,0.972060634
84,0.973085099
85,0.978957887
86,0.965530755
87,0.942807391
88,0.910821878
89,0.939396369
90,0.974059109
91,0.943818517
92,0.972060634
93,0.902308952
94,0.984029808
95,0.951496684
96,0.876978309
97,0.972304428
98,0.846007117
99,0.946868698
100,0.901335026
101,0.986338111
102,0.897422735
103,0.971720939
104,0.947566165
105,0.943599273
106,0.953895533
107,0.953611542
108,0.982346603
109,0.981775639
110,0.975630139
111,0.98776659
112,0.916895591
113,0.983988956
114,0.952761616
115,0.96872037
116,0.941626179
117,0.947094934
118,0.955974688
119,0.964077963
120,0.963741989
121,0.931545845
122,0.990497708
123,0.917154819
124,0.987506977
125,0.938776337
126,0.985682559
127,0.954054992
128,0.978154101
129,0.952946839
130,0.936329062
131,0.952015755
132,0.96125329
133,0.987584505
134,0.971159195
135,0.847482588
136,0.977753684
137,0.949716174
138,0.977773056
139,0.991984146
140,0.979650389
141,0.979216014
142,0.986877656
143,0.988761742
144,0.968848728
145,0.977956574
146,0.962027165
147,0.957738625
148,0.984731291
149,0.985170177
150,0.976019415
151,0.961717279
152,0.942916101
153,0.977137883
154,0.978495039
155,0.98755198
156,0.961664986
157,0.981744027
158,0.94617675
159,0.928301957
160,0.977862451
161,0.973544379
162,0.981908891
163,0.929227331
164,0.970594092
165,0.937425872
166,0.980161286
167,0.971617716
168,0.96339848
169,0.920959404
170,0.931421928
171,0.898267162
172,0.953391532
173,0.875281597
174,0.964860573
175,0.974689462
176,0.952665033
177,0.965685875
178,0.908216061
179,0.973363049
180,0.930042848
181,0.990120033
182,0.938602356
183,0.989026954
184,0.984218062
185,0.97797595
186,0.937394356
187,0.932551012
188,0.987070467
